word|||definition
Eloquent|||Fluent and persuasive in speaking or writing
Ephemeral|||Lasting for a very short time; transitory
Perspicacious|||Having a ready insight into things; shrewd
Ubiquitous|||Present appearing or found everywhere
Sycophant|||A person who acts obsequiously toward someone important
Loquacious|||Tending to talk a great deal; talkative
Mellifluous|||Sweet or musical; pleasant to hear
Nefarious|||Wicked or criminal in nature
Obfuscate|||Render obscure or unintelligible
Pragmatic|||Dealing with things sensibly and realistically
Serendipity|||The occurrence of events by chance in a happy way
Tenacious|||Tending to keep a firm hold; persistent
Vindicate|||Clear someone of blame or suspicion
Zealous|||Having or showing great energy in pursuit of a cause
Acumen|||The ability to make good judgments and quick decisions
Bellicose|||Demonstrating aggression and willingness to fight
Clandestine|||Kept secret or done secretively
Didactic|||Intended to teach particularly with moral instruction
Exacerbate|||Make a problem worse or more severe
Fastidious|||Very attentive to accuracy and detail
Garrulous|||Excessively talkative especially on trivial matters
Histrionic|||Overly theatrical or melodramatic in character
Impetuous|||Acting or done quickly without thought or care
Juxtapose|||Place two things close together for contrast
Laconic|||Using very few words; brief and concise
Magnanimous|||Generous or forgiving especially toward a rival
Negligent|||Failing to take proper care in doing something
Ostentatious|||Characterized by vulgar or excessive display
Pernicious|||Having a harmful effect especially in a gradual way
Querulous|||Complaining in a petulant or whining manner
Recalcitrant|||Having an obstinately uncooperative attitude
Stoic|||Enduring pain without showing feeling or complaint
Truculent|||Eager or quick to argue or fight
Verbose|||Using or expressed in more words than are needed
Whimsical|||Playfully quaint or fanciful; acting on impulse
Aberrant|||Departing from an accepted standard; abnormal
Benevolent|||Well meaning and kindly in nature
Cacophony|||A harsh discordant mixture of sounds
Defunct|||No longer existing or functioning
Egregious|||Outstandingly bad; shockingly bad
Furtive|||Attempting to avoid notice; secretive
Gregarious|||Fond of company; sociable
Haughty|||Arrogantly superior and disdainful
Idiosyncratic|||Relating to a distinctive individual characteristic
Jocular|||Fond of or characterized by joking; humorous
Lugubrious|||Looking or sounding sad and dismal
Mendacious|||Not telling the truth; lying
Nonchalant|||Feeling or appearing casually calm and relaxed
Obtuse|||Annoyingly insensitive or slow to understand
Perfidious|||Deceitful and untrustworthy
